Source,Target,Type,Id,Label,timeset,Weight
3173660,3174453,Undirected,307,112407,,1
3173660,3175487,Undirected,308,112365,,2
3173660,3173599,Undirected,309,112364,,2
3173660,3173479,Undirected,310,112424,,3
3173660,3173945,Undirected,311,112493,,1
3173660,3173466,Undirected,312,112480,,1
3173660,3173462,Undirected,313,112479,,1
3173660,3173591,Undirected,314,112360,,5
3174448,3174453,Undirected,315,112338,,2
3180709,3174453,Undirected,316,112509,,1
3180709,3173355,Undirected,317,112507,,2
3180709,3180765,Undirected,318,112508,,1
3180709,3173474,Undirected,319,112510,,1
3180709,3173334,Undirected,320,112511,,1
3174733,3175271,Undirected,321,112384,,1
3174733,3176354,Undirected,322,112395,,1
3174733,3173474,Undirected,323,112429,,2
3174733,3175604,Undirected,324,112426,,1
3174453,3173355,Undirected,325,112519,,1
3174453,3173474,Undirected,326,112517,,1
3174453,3173334,Undirected,327,112518,,1
3175487,3173945,Undirected,328,112496,,1
3175487,3173591,Undirected,329,112460,,2
3173599,3175487,Undirected,330,112366,,3
3173599,3173474,Undirected,331,112315,,1
3173599,3173479,Undirected,332,112469,,1
3173599,3175262,Undirected,333,112452,,1
3173599,3173591,Undirected,334,112453,,5
3175271,3175262,Undirected,335,112356,,2
3175271,3175284,Undirected,336,112357,,1
3175271,3175522,Undirected,337,112370,,1
3173355,3173306,Undirected,338,112390,,4
3173355,3177656,Undirected,339,112436,,2
3173355,3173334,Undirected,340,112501,,10
3173355,3173224,Undirected,341,112433,,3
3180765,3174453,Undirected,342,112513,,1
3180765,3173355,Undirected,343,112516,,1
3180765,3173474,Undirected,344,112514,,1
3180765,3173334,Undirected,345,112515,,1
3176354,3173591,Undirected,346,112410,,1
3173474,3173660,Undirected,347,112330,,3
3173474,3175487,Undirected,348,112489,,1
3173474,3175271,Undirected,349,112391,,1
3173474,3173355,Undirected,350,112521,,1
3173474,3173479,Undirected,351,112306,,2
3173474,3173945,Undirected,352,112490,,1
3173474,3173466,Undirected,353,112333,,2
3173474,3173462,Undirected,354,112328,,8
3173474,3173334,Undirected,355,112520,,1
3173474,3175364,Undirected,356,112359,,1
3173474,3173591,Undirected,357,112329,,1
3173474,3173516,Undirected,358,112307,,1
3177249,3175604,Undirected,359,112425,,1
3173479,3175487,Undirected,360,112494,,1
3173479,3173945,Undirected,361,112412,,4
3173479,3173466,Undirected,362,112478,,1
3173479,3173462,Undirected,363,112477,,1
3173479,3173591,Undirected,364,112471,,1
3173479,3173516,Undirected,365,112308,,1
3177656,3173306,Undirected,366,112443,,1
3178232,3173355,Undirected,367,112484,,1
3178232,3173334,Undirected,368,112483,,1
3175262,3177307,Undirected,369,112427,,1
3175262,3173466,Undirected,370,112456,,1
3175262,3175284,Undirected,371,112358,,1
3175262,3173591,Undirected,372,112455,,1
3175604,3175271,Undirected,373,112373,,1
3175604,3173474,Undirected,374,112374,,1
3175604,3173462,Undirected,375,112375,,1
3177098,3173660,Undirected,376,112422,,2
3177098,3173479,Undirected,377,112423,,2
3177098,3173466,Undirected,378,112475,,1
3177098,3173462,Undirected,379,112474,,1
3175503,3175271,Undirected,380,112367,,1
3175503,3175262,Undirected,381,112369,,1
3175503,3175522,Undirected,382,112368,,1
3173466,3175487,Undirected,383,112420,,1
3173466,3173599,Undirected,384,112419,,2
3173466,3173462,Undirected,385,112325,,4
3173466,3173516,Undirected,386,112305,,1
3175284,3173479,Undirected,387,112465,,1
3173462,3174733,Undirected,388,112382,,4
3173462,3175271,Undirected,389,112383,,1
3173462,3173516,Undirected,390,112302,,1
3175522,3175262,Undirected,391,112372,,1
3173334,3173306,Undirected,392,112387,,4
3173334,3178236,Undirected,393,112448,,1
3173334,3173224,Undirected,394,112385,,1
3178236,3178232,Undirected,395,112482,,1
3173224,3173218,Undirected,396,112294,,1
3173224,3173306,Undirected,397,112319,,3
3173591,3174733,Undirected,398,112393,,1
3173591,3174453,Undirected,399,112406,,1
3173591,3173466,Undirected,400,112416,,2
3175794,3173599,Undirected,401,112466,,1
3175794,3173479,Undirected,402,112467,,1
3175794,3175262,Undirected,403,112380,,1
3175794,3173591,Undirected,404,112468,,1
