Source,Target,Type,Id,Label,timeset,Weight
782091,782129,Undirected,44,27162,,1
782091,781569,Undirected,45,27163,,1
784563,781760,Undirected,46,27194,,1
784563,781569,Undirected,47,27196,,1
784563,784577,Undirected,48,27195,,1
782129,781569,Undirected,49,27164,,1
782129,785168,Undirected,50,27208,,1
782129,782309,Undirected,51,27183,,4
781884,781760,Undirected,52,27193,,3
782172,782192,Undirected,53,27165,,2
784428,784443,Undirected,54,27192,,1
781760,784428,Undirected,55,27190,,1
781760,781795,Undirected,56,27160,,1
781760,781579,Undirected,57,27215,,1
781760,783057,Undirected,58,27181,,1
781760,784577,Undirected,59,27197,,1
781760,784139,Undirected,60,27188,,2
781760,784443,Undirected,61,27191,,1
781760,783967,Undirected,62,27187,,1
781760,783365,Undirected,63,27182,,1
782448,781760,Undirected,64,27172,,2
785900,782912,Undirected,65,27226,,1
781569,781760,Undirected,66,27200,,1
781569,781579,Undirected,67,27159,,1
781569,782791,Undirected,68,27201,,1
785059,782129,Undirected,69,27233,,2
785059,785168,Undirected,70,27213,,1
785059,782309,Undirected,71,27235,,2
782309,782650,Undirected,72,27171,,1
782309,785168,Undirected,73,27211,,1
782309,782192,Undirected,74,27210,,4
782791,781884,Undirected,75,27232,,1
782791,781760,Undirected,76,27174,,8
782791,783057,Undirected,77,27178,,1
782791,782912,Undirected,78,27176,,1
784577,781569,Undirected,79,27199,,1
782192,782129,Undirected,80,27229,,3
782192,785059,Undirected,81,27222,,2
782192,782650,Undirected,82,27170,,1
782192,785168,Undirected,83,27214,,1
782912,782129,Undirected,84,27228,,1
782912,781760,Undirected,85,27179,,1
782912,783057,Undirected,86,27180,,1
782912,782192,Undirected,87,27227,,1
