Source,Target,Type,Id,Label,timeset,Weight
4769894,4770383,Undirected,588,170491,,1
4769894,4769112,Undirected,589,170492,,1
4769650,4769119,Undirected,590,170449,,1
4772901,4771329,Undirected,591,170643,,1
4772901,4769261,Undirected,592,170642,,1
4772901,4770051,Undirected,593,170641,,2
4770175,4770343,Undirected,594,170490,,1
4770175,4769205,Undirected,595,170480,,1
4771904,4769650,Undirected,596,170554,,1
4771904,4772431,Undirected,597,170555,,1
4769440,4769119,Undirected,598,170444,,1
4769119,4769894,Undirected,599,170458,,2
4769119,4772901,Undirected,600,170633,,1
4769119,4771329,Undirected,601,170636,,1
4769119,4773448,Undirected,602,170583,,1
4769119,4773543,Undirected,603,170599,,4
4769119,4769112,Undirected,604,170456,,3
4769119,4769205,Undirected,605,170473,,2
4769119,4770051,Undirected,606,170634,,1
4773448,4769261,Undirected,607,170587,,1
4773448,4769357,Undirected,608,170586,,1
4770669,4770610,Undirected,609,170499,,1
4773543,4772901,Undirected,610,170617,,2
4773543,4771329,Undirected,611,170640,,1
4773543,4769112,Undirected,612,170660,,1
4773543,4770051,Undirected,613,170616,,2
4769261,4769894,Undirected,614,170461,,2
4769261,4769610,Undirected,615,170488,,1
4769261,4769119,Undirected,616,170440,,22
4769261,4771329,Undirected,617,170646,,1
4769261,4773543,Undirected,618,170608,,5
4769261,4770286,Undirected,619,170487,,1
4769261,4769205,Undirected,620,170474,,3
4769261,4769357,Undirected,621,170470,,12
4769596,4769610,Undirected,622,170446,,1
4769596,4769357,Undirected,623,170445,,1
4769112,4769650,Undirected,624,170552,,2
4769112,4771904,Undirected,625,170542,,2
4769112,4770383,Undirected,626,170495,,2
4769112,4769261,Undirected,627,170459,,1
4769112,4771890,Undirected,628,170541,,1
4769112,4770610,Undirected,629,170519,,1
4770116,4769112,Undirected,630,170478,,1
4772252,4773040,Undirected,631,170575,,1
4772252,4770019,Undirected,632,170548,,1
4772252,4773027,Undirected,633,170574,,1
4772252,4770051,Undirected,634,170547,,1
4770022,4770019,Undirected,635,170486,,1
4770019,4772901,Undirected,636,170569,,1
4770286,4769610,Undirected,637,170489,,1
4769205,4769923,Undirected,638,170462,,1
4769205,4769357,Undirected,639,170465,,1
4769923,4769119,Undirected,640,170467,,1
4769923,4769261,Undirected,641,170466,,1
4769923,4769357,Undirected,642,170468,,1
4771890,4771904,Undirected,643,170543,,1
4769357,4769894,Undirected,644,170455,,2
4769357,4772901,Undirected,645,170628,,1
4769357,4769440,Undirected,646,170443,,1
4769357,4769610,Undirected,647,170447,,1
4769357,4769119,Undirected,648,170452,,18
4769357,4771329,Undirected,649,170631,,1
4769357,4773543,Undirected,650,170621,,4
4769357,4769112,Undirected,651,170453,,1
4769357,4773721,Undirected,652,170602,,1
4769357,4770051,Undirected,653,170629,,1
4773027,4773040,Undirected,654,170576,,1
4770418,4770175,Undirected,655,170494,,1
4770051,4772308,Undirected,656,170550,,1
4770051,4771329,Undirected,657,170645,,1
4770051,4769261,Undirected,658,170644,,1
4770051,4769112,Undirected,659,170650,,2
4770051,4770022,Undirected,660,170482,,1
4770051,4770019,Undirected,661,170483,,4
4770051,4770200,Undirected,662,170481,,1
4770200,4770022,Undirected,663,170484,,1
4770200,4770019,Undirected,664,170485,,1
4770200,4771003,Undirected,665,170510,,1
4772431,4769650,Undirected,666,170604,,1
4772431,4769112,Undirected,667,170567,,4
4769751,4769119,Undirected,668,170451,,1
4769751,4769112,Undirected,669,170502,,1
