Id,Label,timeset,modularity_class,pageranks
4770051,VADER,,0,0.065054
4769112,LUKE,,1,0.080074
4769357,THREEPIO,,3,0.077986
4769119,HAN,,3,0.070712
4769205,RIEEKAN,,3,0.030606
4769261,LEIA,,3,0.065439
4770175,CONTROLLER,,4,0.031147
4772252,NEEDA,,0,0.028974
4770200,VEERS,,0,0.028001
4770610,WEDGE,,1,0.019353
4772901,BOBA FETT,,0,0.035412
4769894,ANNOUNCER,,3,0.027697
4770019,PIETT,,0,0.030688
4769650,BEN,,1,0.0242
4773543,LANDO,,3,0.035096
4769610,DERLIN,,2,0.02428
4771904,CREATURE,,1,0.025698
4770343,CAPTAIN,,4,0.012887
4773040,COMMUNICATIONS OFFICER,,0,0.017759
4770383,DACK,,1,0.013624
4769440,DECK OFFICER,,3,0.012767
4772308,EMPEROR,,0,0.008662
4771329,IMPERIAL OFFICER,,0,0.030215
4773448,INTERCOM VOICE,,3,0.017046
4770669,JANSON,,1,0.012279
4769596,LIEUTENANT,,2,0.013633
4773721,MAN,,3,0.008473
4770116,MEDICAL DROID,,1,0.008916
4770022,OZZEL,,0,0.019829
4771003,PILOT,,0,0.010004
4770286,PILOTS,,2,0.013492
4769923,SENIOR CONTROLLER,,3,0.022247
4771890,STRANGE VOICE,,1,0.014376
4773027,TRACKING OFFICER,,0,0.017759
4770418,TRENCH OFFICER,,4,0.012887
4772431,YODA,,1,0.019519
4769751,ZEV,,1,0.013209
