Id,Label,timeset,modularity_class,pageranks
781760,DECKARD,,0,0.175273
782912,TYRELL,,0,0.064641
782192,SEBASTIAN,,1,0.070794
782129,BATTY,,1,0.067755
781569,LEON,,2,0.073489
782791,RACHAEL,,0,0.054461
782309,PRIS,,1,0.049432
782091,ANNOUNCER,,2,0.023151
784563,BARTENDER,,2,0.034696
781884,BRYANT,,0,0.025202
782172,CHEW,,1,0.014595
784428,COP,,0,0.027723
782448,ESPER,,0,0.015942
781795,GAFF,,0,0.015942
781579,HOLDEN,,2,0.024867
785900,IAN,,0,0.015155
785059,MARY,,1,0.039643
782650,MOUSE,,1,0.022996
785168,PIG,,1,0.039643
783057,RACHEL,,0,0.034357
784577,RUSSIAN,,2,0.034696
784139,SALOME,,0,0.015942
784443,SERGEANT,,0,0.027723
783967,TAFFEY,,0,0.015942
783365,WHEELER,,0,0.015942
