awb,source,target,peso,pesotaxavel
4705860820,LIS,MPM,1,
020-98338170,LIS,SSG,2,"5,5"
020-98338166,LIS,SSG,14,"16,5"
118-11347814,LIS,LAD,58,
047-05860875,LIS,MPM,2,
4705860886,LIS,MPM,23,
4705860864,LIS,MPM,433,
12591080334,LIS,KUL,119,119
4705860890,LIS,MPM,131,
4705860853,LIS,MPM,365,
020-98338192,LIS,SSG,27,27
176-16453415,LIS,LLW,40,
176-16453426,LIS,LLW,46,
047-05860901,LIS,MPM,56,
331-84578200,LIS,RAI,13,
047-05860912,LIS,MPM,373,
331-84578211,LIS,RAI,40,
047-05860923,LIS,MPM,2,
331-84578222,LIS,PDL,55,"56,25"
331-84578233,LIS,HOR,55,"56,25"
047-05860945,LIS,MPM,8,8
047-05860934,LIS,MPM,56,"86,4"
470-20172121,LIS,TMS,119,240
047-05860956,LIS,RAI,53,"80,9"
047-05860971,LIS,RAI,12,"17,72"
118-11347862,LIS,CBT,30,30
235-78363062,LIS,ISB,620,"1108,64"
047-05860982,LIS,MPM,67,67
047-05860993,LIS,MPM,5,5
047-05861004,LIS,MPM,26,64
047-05861015,LIS,RAI,28,32
047-05861026,LIS,MPM,1800,1800
047-05861030,LIS,RAI,40,64
118-11347910,LGG,LAD,9,"10,82"
047-05861041,LIS,MPM,7,"17,41"
047-05861052,LIS,RAI,5,"12,13"
047-05861063,LHR,VXE,117,"161,33"
118-11347906,LIS,LAD,"3,5","3,5"
057-94480934,LIS,SSG,23,"62,93"
057-94480945,LIS,SSG,137,"192,34"
047-05861074,LIS,MPM,1360,1360
221-03233311,LIS,FNC,29,"39,22"
118-11347976,LIS,LAD,101,101
331-84578244,LIS,PDL,"0,5","0,5"
020-98338181,LIS,ATH,"0,2","0,66"
047-05861100,LIS,MPM,23,"29,08"
047-05861111,LIS,MPM,500,500
047-05861122,LIS,MPM,46,64
118-11347921,LIS,LAD,1228,1228
331-84578266,LIS,TER,19,"21,2"
331-84578270,LIS,PDL,15,16
047-05861166,LIS,MPM,440,440
047-05861170,LIS,MPM,160,248
057-94480956,LIS,SSG,622,622
047-05861181,LIS,MPM,11,"30,4"
047-05861192,LIS,MPM,218,"342,4"
331-84578255,LIS,TER,2,2
047-05861203,LIS,MPM,208,208
047-05861225,LIS,RAI,129,"180,17"
221-03233322,LIS,FNC,6,"10,56"
047-05861236,LIS,MPM,17,"18,65"
118-11347954,LIS,LAD,182,194
047-05861240,LIS,RAI,84,"122,67"
047-05861273,LIS,MPM,134,134
221-03233333,LIS,FNC,499,499
047-05861295,LIS,ZRH,"18,5","18,5"
157-15332925,LIS,MFM,41,"46,52"
331-84578281,LIS,TER,18,"23,47"
057-94480960,LIS,SSG,253,"332,16"
047-05861310,LIS,MPM,31,31
047-05861321,LIS,MPM,188,188
075-46456480,LIS,MAD,189,189
047-05861365,LIS,MPM,45,45
331-84704104,LIS,PDL,4,4
047-05862511,LIS,RAI,9,"13,92"
047-05861380,LIS,MPM,26,26
221-03233355,LIS,FNC,13,13
118-11348050,LIS,LAD,332,"352,8"
331-84704115,LIS,HOR,"0,2","0,2"
221-03233366,LIS,FNC,46,46
331-84704126,LIS,PDL,55,55
331-84704130,LIS,PIX,7,7
047-05861391,LIS,MPM,6,6
235-78363073,LIS,SVO,454,454
047-05861402,LIS,MPM,61,"143,97"
047-05861413,LIS,MPM,9,"17,72"
057-94480971,LIS,SSG,23,"36,8"
047-05861424,LIS,MPM,116,116
331-84704141,LIS,PDL,44,44
047-05861435,LIS,MPM,51,"63,23"
221-03233370,LIS,FNC,5,"10,08"
047-05861446,LIS,MPM,8,"13,33"
331-84704152,LIS,TER,3,3
118-11348083,LIS,LAD,240,240
