awb,source,target,peso,pesotaxavel
33187682641,OPO,SMA,0.5,1.5
7546466512,OPO,SJO,4.9,5.0
23578358405,OPO,DOH,238.0,238.0
4706854816,OPO,PDL,2.0,2.0
4706854820,OPO,TER,1.0,1.0
17617781455,OPO,DXB,930.0,930.0
11811278061,LIS,LAD,245.0,245.0
17617781466,OPO,RUH,99.0,102.0
11811278072,LIS,CAB,28.5,28.5
11811278083,LIS,CAB,36.5,36.5
4706854831,OPO,FNC,33.0,33.0
23578358416,OPO,ALG,0.6,1.0
4706854842,OPO,PDL,1.0,1.0
4706854853,OPO,TER,1.0,1.0
11811278105,LIS,LAD,32.0,45.0
17622953641,OPO,DMM,636.0,636.0
12568496886,OPO,BAH,127.0,127.5
4706854875,OPO,TER,6.0,13.0
4706854886,OPO,FNC,14.4,14.5
4706854890,OPO,PDL,6.0,6.0
17622953674,OPO,MCT,455.0,633.5
4706854901,OPO,PDL,1.0,1.0
4706854912,OPO,TER,1.0,1.0
11811278120,LIS,LAD,125.0,125.0
11811278142,LIS,LAD,65.0,65.0
4706854934,OPO,PDL,1.0,1.0
4706854945,OPO,TER,1.0,1.0
11811278153,LIS,LAD,276.0,276.0
11811278164,LIS,LAD,42.0,42.0
23578358431,OPO,GZT,289.0,338.5
11811278186,LIS,LAD,364.0,364.0
4706854956,OPO,FNC,17.7,18.0
4706854960,OPO,FNC,40.0,40.0
23578358442,OPO,TPE,288.6,289.0
4706854982,OPO,PDL,1.0,1.0
4706854993,OPO,TER,1.0,1.0
12591090403,OPO,MIA,180.0,208.0
11811278201,LIS,LAD,27.0,27.0
4706855026,OPO,FNC,64.0,230.5
5791680680,OPO,CAI,72.0,100.0
12591090436,OPO,DUB,45.0,70.0
4706855015,OPO,PDL,1.0,1.0
4706855030,OPO,TER,1.0,1.0
11811278212,LIS,LAD,480.0,480.0
4706855041,OPO,FNC,3.0,3.0
23578358464,OPO,KWI,13.0,71.5
11811278234,LIS,LAD,70.0,70.0
4706855063,OPO,TER,14.5,34.5
4706855100,OPO,PDL,1.0,1.0
4706855111,OPO,TER,1.0,1.0
11811278256,LIS,LAD,193.0,193.0
23578358486,OPO,GZT,20.0,28.5
23578358490,OPO,TAS,270.0,270.0
11811278282,LIS,LAD,58.0,58.0
4706855155,OPO,PDL,1.0,1.0
4706855166,OPO,TER,1.0,1.0
4706855181,OPO,PDL,4.0,11.0
23578358512,OPO,TAS,180.0,252.0
11811278304,LIS,LAD,60.0,60.0
4706855192,OPO,FNC,16.0,16.0
7549658431,OPO,SJO,29.0,29.0
