Source,Target,Type,Id,Label,timeset,Weight,airline,aid,s,d,codeshare,stops,equipment
2965,2990,Directed,270652,,,1,2B,410,AER,KZN,,0,CR2
2966,2990,Directed,270653,,,1,2B,410,ASF,KZN,,0,CR2
2966,2962,Directed,270654,,,1,2B,410,ASF,MRV,,0,CR2
2968,2990,Directed,270655,,,1,2B,410,CEK,KZN,,0,CR2
2968,4078,Directed,270656,,,1,2B,410,CEK,OVB,,0,CR2
4029,2990,Directed,270657,,,1,2B,410,DME,KZN,,0,CR2
4029,6969,Directed,270658,,,1,2B,410,DME,NBC,,0,CR2
4029,6160,Directed,270660,,,1,2B,410,DME,UUA,,0,CR2
6156,2952,Directed,270661,,,1,2B,410,EGO,KGD,,0,CR2
6156,2990,Directed,270662,,,1,2B,410,EGO,KZN,,0,CR2
2922,6969,Directed,270663,,,1,2B,410,GYD,NBC,,0,CR2
2952,6156,Directed,270664,,,1,2B,410,KGD,EGO,,0,CR2
2990,2965,Directed,270665,,,1,2B,410,KZN,AER,,0,CR2
2990,2966,Directed,270666,,,1,2B,410,KZN,ASF,,0,CR2
2990,2968,Directed,270667,,,1,2B,410,KZN,CEK,,0,CR2
2990,4029,Directed,270668,,,1,2B,410,KZN,DME,,0,CR2
2990,6156,Directed,270669,,,1,2B,410,KZN,EGO,,0,CR2
2990,2948,Directed,270670,,,1,2B,410,KZN,LED,,0,CR2
2990,2975,Directed,270671,,,1,2B,410,KZN,SVX,,0,CR2
2948,2990,Directed,270672,,,1,2B,410,LED,KZN,,0,CR2
2948,6969,Directed,270673,,,1,2B,410,LED,NBC,,0,CR2
2948,6160,Directed,270674,,,1,2B,410,LED,UUA,,0,CR2
2962,2966,Directed,270675,,,1,2B,410,MRV,ASF,,0,CR2
6969,4029,Directed,270676,,,1,2B,410,NBC,DME,,0,CR2
6969,2922,Directed,270677,,,1,2B,410,NBC,GYD,,0,CR2
6969,2948,Directed,270678,,,1,2B,410,NBC,LED,,0,CR2
6969,2975,Directed,270679,,,1,2B,410,NBC,SVX,,0,CR2
2972,2975,Directed,270680,,,1,2B,410,NJC,SVX,,0,CR2
2972,6160,Directed,270681,,,1,2B,410,NJC,UUA,,0,CR2
4364,2975,Directed,270682,,,1,2B,410,NUX,SVX,,0,CR2
4078,2968,Directed,270683,,,1,2B,410,OVB,CEK,,0,CR2
4078,2975,Directed,270684,,,1,2B,410,OVB,SVX,,0,CR2
2975,2990,Directed,270685,,,1,2B,410,SVX,KZN,,0,CR2
2975,6969,Directed,270686,,,1,2B,410,SVX,NBC,,0,CR2
2975,2972,Directed,270687,,,1,2B,410,SVX,NJC,,0,CR2
2975,4364,Directed,270688,,,1,2B,410,SVX,NUX,,0,CR2
2975,4078,Directed,270689,,,1,2B,410,SVX,OVB,,0,CR2
6160,4029,Directed,270691,,,1,2B,410,UUA,DME,,0,CR2
6160,2948,Directed,270692,,,1,2B,410,UUA,LED,,0,CR2
6160,2972,Directed,270693,,,1,2B,410,UUA,NJC,,0,CR2
2936,2937,Directed,270694,,,1,2G,1654,BTK,IKT,,0,A81
2936,4078,Directed,270695,,,1,2G,1654,BTK,OVB,,0,A81
2968,4078,Directed,270696,,,1,2G,1654,CEK,OVB,,0,A81
2935,2937,Directed,270697,,,1,2G,1654,HTA,IKT,,0,AN4
2937,2936,Directed,270698,,,1,2G,1654,IKT,BTK,,0,A81
2937,2935,Directed,270699,,,1,2G,1654,IKT,HTA,,0,AN4
2937,8944,Directed,270701,,,1,2G,1654,IKT,ODO,,0,AN4
2937,4078,Directed,270702,,,1,2G,1654,IKT,OVB,,0,A81
2937,6924,Directed,270703,,,1,2G,1654,IKT,UKX,,0,AN4
2937,9026,Directed,270704,,,1,2G,1654,IKT,ULK,,0,AN4
2937,2923,Directed,270705,,,1,2G,1654,IKT,YKS,,0,A81
2925,4078,Directed,270707,,,1,2G,1654,MJZ,OVB,,0,A81
